ident,name,airport_type,iso_country,iso_region,municipality,latitude_deg,longitude_deg,elevation_ft,gps_code,iata_code,local_code,source,data_quality,active,closed
LKSZ,Sazená,small_airport,CZ,CZ-ST,Sazená,50.3247,14.2589,,LKSZ,,LKSZ,manual_override,verified_from_logbook,1,0
LKLT,Praha Letňany,small_airport,CZ,CZ-PR,Praha,50.1314,14.5256,,LKLT,,LKLT,manual_override,verified_from_logbook,1,0
LKVO,Vodochody,small_airport,CZ,CZ-ST,Vodochody,50.2166,14.3958,,LKVO,,LKVO,manual_override,verified_from_logbook,1,0
LKPR,Praha Ruzyně,large_airport,CZ,CZ-PR,Praha,50.1008,14.2632,,LKPR,PRG,LKPR,manual_override,verified_from_logbook,1,0
LKPS,Plasy,small_airport,CZ,CZ-PL,Plasy,49.9208,13.3769,,LKPS,,LKPS,manual_override,verified_from_logbook,1,0
LKLN,Plzeň Líně,small_airport,CZ,CZ-PL,Plzeň,49.6752,13.2746,,LKLN,,LKLN,manual_override,verified_from_logbook,1,0
LKKM,Kroměříž,small_airport,CZ,CZ-ZL,Kroměříž,49.2856,17.4158,,LKKM,,LKKM,manual_override,verified_from_logbook,1,0
LKKU,Kunovice,medium_airport,CZ,CZ-ZL,Kunovice,49.0294,17.4397,,LKKU,UHE,LKKU,manual_override,verified_from_logbook,1,0
LKJC,Jičín,small_airport,CZ,CZ-KR,Jičín,50.4291,15.3332,,LKJC,,LKJC,manual_override,verified_from_logbook,1,0
LKMH,Mnichovo Hradiště,small_airport,CZ,CZ-ST,Mnichovo Hradiště,50.5402,15.0066,,LKMH,,LKMH,manual_override,verified_from_logbook,1,0
LKKMB,Mladá Boleslav,small_airport,CZ,CZ-ST,Mladá Boleslav,50.3989,14.8983,,LKKMB,,LKKMB,manual_override,verified_from_logbook,1,0
EDNY,Friedrichshafen,medium_airport,DE,DE-BW,Friedrichshafen,47.6713,9.5115,,EDNY,FDH,EDNY,manual_override,verified_from_logbook,1,0
LOWZ,Zell am See,small_airport,AT,AT-5,Zell am See,47.2922,12.7875,,LOWZ,,LOWZ,manual_override,verified_from_logbook,1,0
LOWL,Linz,medium_airport,AT,AT-4,Linz,48.2332,14.1875,,LOWL,LNZ,LOWL,manual_override,verified_from_logbook,1,0
EDAZ,Schönhagen,small_airport,DE,DE-BB,Schönhagen,52.2036,13.1564,,EDAZ,,EDAZ,manual_override,verified_from_logbook,1,0
LIPB,Bolzano,medium_airport,IT,IT-32,Bolzano,46.4602,11.3264,,LIPB,BZO,LIPB,manual_override,verified_from_logbook,1,0
LIPV,Venezia Lido,small_airport,IT,IT-34,Venezia,45.4283,12.3881,,LIPV,,LIPV,manual_override,verified_from_logbook,1,0
LDPM,Medulin,small_airport,HR,HR-18,Medulin,44.8197,13.9361,,LDPM,,LDPM,manual_override,verified_from_logbook,1,0
LDSB,Brač,medium_airport,HR,HR-17,Brač,43.2857,16.6797,,LDSB,BWK,LDSB,manual_override,verified_from_logbook,1,0
LJMB,Maribor,medium_airport,SI,SI-070,Maribor,46.4799,15.6861,,LJMB,MBX,LJMB,manual_override,verified_from_logbook,1,0
LJBO,Bovec,small_airport,SI,SI-006,Bovec,46.3311,13.5522,,LJBO,,LJBO,manual_override,verified_from_logbook,1,0
LOGM,Mariazell,small_airport,AT,AT-6,Mariazell,47.7886,15.3019,,LOGM,,LOGM,manual_override,verified_from_logbook,1,0
LOGK,Kapfenberg,small_airport,AT,AT-6,Kapfenberg,47.4583,15.3292,,LOGK,,LOGK,manual_override,verified_from_logbook,1,0
LOLO,Linz-Ost,small_airport,AT,AT-4,Linz,48.3000,14.3330,,LOLO,,LOLO,manual_override,verified_from_logbook,1,0
